,precision,recall,f1-score,support
0,0.7065282253252178,0.7037983712774178,0.7051606563235163,16823.0
1,0.311930405965203,0.3147554688588547,0.3133365698037312,7177.0
accuracy,0.5874583333333333,0.5874583333333333,0.5874583333333333,0.5874583333333333
macro avg,0.5092293156452103,0.5092769200681363,0.5092486130636238,24000.0
weighted avg,0.5885270357607667,0.5874583333333333,0.5879889284504956,24000.0
