Model,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
HGB_SMOTE,0.32244098036871627,0.5874583333333333,0.311930405965203,0.3147554688588547,0.3133365698037312,0.507196488853186,0.3032557021958518
GB_SMOTE,0.3129465929632688,0.537875,0.3036323499899659,0.42162463424829316,0.35303039141340486,0.5019263298003338,0.29901429730238027
LR_SMOTE,0.5003993727143915,0.5086666666666667,0.3031311321559594,0.49505364358367004,0.3760186263096624,0.5010298895869079,0.2987615766929538
ET_SMOTE,0.3051111111111111,0.44666666666666666,0.3024023829566794,0.650689703218615,0.41290893015030944,0.5002272801230353,0.29909686605191355
RF_SMOTE,0.2777428571428572,0.32608333333333334,0.3004657351962741,0.9438484046258883,0.45582396877733666,0.495454240174633,0.29520931316554444
